range_id,e_min_mev,e_max_mev,n_cells,used_energies,missing_energies,dose_depth_cm,dose_at_depth_mgy_per_yr,mean_primary_penetration_cm,mean_secondary_ke_mev,mean_secondary_penetration_cm,deposited_fraction,backscatter_fraction,lateral_escape_fraction,forward_escape_fraction,escaped_electron_fraction,escaped_photon_fraction,nondeposited_escaped_electron_fraction,nondeposited_escaped_photon_fraction,nondeposited_unresolved_fraction,backscatter_electron_fraction,backscatter_photon_fraction,lateral_escape_electron_fraction,lateral_escape_photon_fraction,backscatter_flux_mev_cm2_s,lateral_escape_flux_mev_cm2_s,forward_escape_flux_mev_cm2_s,escaped_electron_flux_mev_cm2_s,escaped_photon_flux_mev_cm2_s,backscatter_electron_flux_mev_cm2_s,backscatter_photon_flux_mev_cm2_s,lateral_escape_electron_flux_mev_cm2_s,lateral_escape_photon_flux_mev_cm2_s,jde_flux_cm2_s,jde_energy_flux_model_mev_cm2_s,deflected_fraction,deflected_flux_mev_cm2_s
60,0.01,0.146751751,4,234,0,0.00995,1.70853081,0.0030134128,1.97501733e-05,0.00301430015,0.864992942,0.135007047,0,0,0.135007047,0,0.99999992,0,8.03185705e-08,0.135007047,0,0,0,1248252.71,0,0,1248252.71,0,1248252.71,0,0,0,255887181,9213784.09,0.135007058,1248252.81
61,0.01,0.152065747,4,237,0,0.00995,1.7584929,0.00311801487,2.00481398e-05,0.00311893478,0.865014029,0.13498596,0,0,0.13498596,0,0.999999918,0,8.18937565e-08,0.13498596,0,0,0,1274370.62,0,0,1274370.62,0,1274370.62,0,0,0,257192053,9408714.65,0.134985971,1274370.73
62,0.01,0.193483227,4,258,0,0.00995,2.05122689,0.00394309367,2.23429491e-05,0.00394497363,0.866045994,0.133953996,0,0,0.133953996,0,0.999999928,0,7.19899398e-08,0.133953996,0,0,0,1449687.74,0,0,1449687.74,0,1449687.74,0,0,0,265253283,10790230.3,0.133954006,1449687.85
63,0.01,0.232639439,4,274,0,0.00995,2.21884295,0.00469559229,2.45739854e-05,0.00469808871,0.866657392,0.133342599,0,0,0.133342599,0,0.999999935,0,6.54853155e-08,0.133342599,0,0,0,1593683.23,0,0,1593683.23,0,1593683.23,0,0,0,270580249,11919743.5,0.133342608,1593683.33
64,0.01,0.240264908,4,277,0,0.00995,2.25070265,0.00483965749,2.5078273e-05,0.00484246866,0.867135881,0.132864111,0,0,0.132864111,0,0.999999935,0,6.46175779e-08,0.132864111,0,0,0,1615084.29,0,0,1615084.29,0,1615084.29,0,0,0,271443825,12123861,0.132864119,1615084.4
65,0.01,0.249286264,2,280,0,0.00995,2.27708865,0.0050127454,2.55083883e-05,0.0050157277,0.867179088,0.132820904,0,0,0.132820904,0,0.999999937,0,6.34099689e-08,0.132820904,0,0,0,1645842.36,0,0,1645842.36,0,1645842.36,0,0,0,272406071,12359390.9,0.132820912,1645842.47
66,0.01,0.42315785,4,326,0,0.00995,2.58419513,0.00805887266,3.28633909e-05,0.00806605058,0.870315263,0.12968473,0,0,0.12968473,0,0.99999995,0,5.0195281e-08,0.12968473,0,0,0,2079128.17,0,0,2079128.17,0,2079128.17,0,0,0,283683024,16000123.9,0.129684737,2079128.28
67,0.01,0.431337691,4,327,0,0.00995,2.59093814,0.00819535825,3.31282912e-05,0.00820278429,0.870497126,0.129502867,0,0,0.129502867,0,0.99999995,0,4.98300729e-08,0.129502867,0,0,0,2094365.92,0,0,2094365.92,0,2094365.92,0,0,0,284011338,16140301.5,0.129502874,2094366.02
68,0.01,0.730232899,4,373,0,0.00995,2.76574011,0.0124711857,4.32712792e-05,0.0124860082,0.873641292,0.126358703,0,0,0.126358703,0,0.999999959,0,4.08999988e-08,0.126358703,0,0,0,2551642.5,0,0,2551642.5,0,2551642.5,0,0,0,291236913,20161592.3,0.126358708,2551642.61
69,0.01,0.74633957,4,375,0,0.00995,2.76979508,0.0126763322,4.38521184e-05,0.0126917126,0.873834724,0.126165271,0,0,0.126165271,0,0.999999959,0,4.06172978e-08,0.126165271,0,0,0,2569402.47,0,0,2569402.47,0,2569402.47,0,0,0,291469519,20333320,0.126165276,2569402.57
70,0.01,0.837177537,4,385,0,0.00995,2.7931769,0.0137669677,4.6604294e-05,0.0137846471,0.87457372,0.125426275,0,0,0.125426275,0,0.999999961,0,3.91141027e-08,0.125426275,0,0,0,2668148.64,0,0,2668148.64,0,2668148.64,0,0,0,292617912,21240594.8,0.12542628,2668148.74
71,0.01,1.13508272,4,412,0,0.00995,2.84614893,0.016894146,5.43936294e-05,0.0169181738,0.87766322,0.122336775,0,0,0.122336775,0,0.999999964,0,3.60252206e-08,0.122336775,0,0,0,2896928.71,0,0,2896928.71,0,2896928.71,0,0,0,295097568,23647899.1,0.12233678,2896928.81
