cell_id,lat_deg,lon_w_deg,hemisphere,range_id,dose_at_depth_mgy_per_yr,mean_primary_penetration_cm,mean_secondary_ke_mev,mean_secondary_penetration_cm,deposited_fraction,backscatter_fraction,lateral_escape_fraction,forward_escape_fraction,escaped_electron_fraction,escaped_photon_fraction,nondeposited_escaped_electron_fraction,nondeposited_escaped_photon_fraction,nondeposited_unresolved_fraction,backscatter_electron_fraction,backscatter_photon_fraction,lateral_escape_electron_fraction,lateral_escape_photon_fraction,backscatter_flux_mev_cm2_s,lateral_escape_flux_mev_cm2_s,forward_escape_flux_mev_cm2_s,escaped_electron_flux_mev_cm2_s,escaped_photon_flux_mev_cm2_s,backscatter_electron_flux_mev_cm2_s,backscatter_photon_flux_mev_cm2_s,lateral_escape_electron_flux_mev_cm2_s,lateral_escape_photon_flux_mev_cm2_s,jde_flux_cm2_s,jde_energy_flux_model_mev_cm2_s,deflected_fraction,deflected_flux_mev_cm2_s
360,15,6,leading,137,4.77965679e-05,34.0813841,0.00548383648,34.1185206,0.699052693,0.0100365765,0.222274182,0,0.00688233601,0.225428423,0.0228689071,0.749062767,0.228068326,0.00688233601,0.00315424046,0,0.222274182,2111.01991,46751.5219,0,1447.5801,47414.9617,1447.5801,663.439813,0,46751.5219,3529.67916,210447.703,0.300947307,63299.0502
361,15,18,leading,126,9.46203462e-05,29.0227288,0.00475665049,29.0544739,0.73572365,0.0120890816,0.192713651,0,0.00900565966,0.195797073,0.0340766764,0.740880039,0.225043284,0.00900565966,0.00308342194,0,0.192713651,4123.0648,65726.3221,0,3071.44245,66777.9444,3071.44245,1051.62236,0,65726.3221,6980.96364,341171.944,0.26427635,90133.2751
362,15,30,leading,119,0.000130634276,26.6679446,0.00436836367,26.696307,0.753606755,0.0125659507,0.178585266,0,0.00965502219,0.181496194,0.0391854176,0.736611891,0.224202691,0.00965502219,0.00291092854,0,0.178585266,5320.83921,75618.9089,0,4088.25578,76851.4923,4088.25578,1232.58344,0,75618.9089,9602.87858,423548.08,0.246393245,104331.05
363,15,42,leading,118,0.000152198702,25.4224519,0.00416936383,25.449015,0.762573185,0.0128571171,0.171421665,0,0.00992808156,0.1743507,0.0418153339,0.734334494,0.223850172,0.00992808156,0.00292903554,0,0.171421665,6081.0941,81078.1503,0,4695.73371,82463.5107,4695.73371,1385.36039,0,81078.1503,11339.8823,473089.922,0.237426815,112296.932
364,15,54,leading,117,0.00016893155,24.7590891,0.0040571472,24.7844647,0.7672817,0.0133655683,0.167502769,0,0.0103982614,0.170470076,0.044681752,0.732516851,0.222801397,0.0103982614,0.00296730694,0,0.167502769,6706.67327,84050.7729,0,5217.71615,85539.73,5217.71615,1488.95712,0,84050.7729,12404.1615,501902.347,0.2327183,116775.102
365,15,66,leading,115,0.000176632958,24.3355979,0.00399929814,24.3616697,0.770343947,0.0134649719,0.164887508,0,0.0105499092,0.167802571,0.045937867,0.730669053,0.22339308,0.0105499092,0.00291506266,0,0.164887508,6998.63692,85702.9492,0,5483.48595,87218.1002,5483.48595,1515.15097,0,85702.9492,13088.1698,519881.168,0.229656053,119367.448
366,15,78,leading,114,0.000187314902,24.1211208,0.00404055571,24.1488045,0.771374881,0.0139184952,0.163912854,0,0.0110048833,0.166826466,0.0481350574,0.729694384,0.222170559,0.0110048833,0.00291361196,0,0.163912854,7358.95698,86663.6529,0,5818.4783,88204.1315,5818.4783,1540.47868,0,86663.6529,13434.4324,528832.87,0.228625119,120878.183
367,15,90,leading,113,0.000190040394,24.0645463,0.00402926531,24.0921883,0.772009946,0.0138823495,0.163429702,0,0.0109867392,0.166325313,0.048189555,0.729528811,0.222281634,0.0109867392,0.00289561025,0,0.163429702,7388.97785,86986.6052,0,5847.769,88527.8141,5847.769,1541.20886,0,86986.6052,13572.855,532372.027,0.227990054,121349.305
368,15,102,leading,114,0.000187314902,24.1211208,0.00404055571,24.1488045,0.771374881,0.0139184952,0.163912854,0,0.0110048833,0.166826466,0.0481350574,0.729694384,0.222170559,0.0110048833,0.00291361196,0,0.163912854,7358.95698,86663.6529,0,5818.4783,88204.1315,5818.4783,1540.47868,0,86663.6529,13434.4324,528832.87,0.228625119,120878.183
369,15,114,leading,115,0.000176632958,24.3355979,0.00399929814,24.3616697,0.770343947,0.0134649719,0.164887508,0,0.0105499092,0.167802571,0.045937867,0.730669053,0.22339308,0.0105499092,0.00291506266,0,0.164887508,6998.63692,85702.9492,0,5483.48595,87218.1002,5483.48595,1515.15097,0,85702.9492,13088.1698,519881.168,0.229656053,119367.448
